Length,Average Number of Sentences,Complex Sentence
13,1.1,These cone photoreceptors are sensitive to different portions of the visible spectrum.
26,1.1,"Due to its appearance at burial sites across the globe, the spiral most likely represented the ""life-death-rebirth"" cycle."
24,1.7,"The Fert group first saw the large effect in multilayers that led to its naming, and first correctly explained the underlying physics."
33,2.0,"The album was fueled by the single ""Fat Lip"", which reached the top position on the Billboard Modern Rock chart, making it the band's most successful single."
14,1.3,"His baptism followed on May 3 in the river Lark, at Isleham."
23,1.3,"A night shift is either a group of workers who work during the night, or the period in which they work."
19,1.4,"History Vaihingen may date back as far as 799 a. d., but the documents are not clear."
25,1.0,"It is not clear whether it is only a transient clump of dust, or if there is a solid moonlet at its core."
28,1.7,"It was released on January 21, 2003 and garnered DVDX awards for best animated feature, best director, best editing, and best musical score."
27,1.8,"The strengthening trend abated early on July 8, due to wind shear, and Bertha rapidly weakened back to a Category 1 hurricane that afternoon."
29,1.3,"In 911, French King Charles the Simple was able to make an agreement with the Viking warleader Rollo, a chieftain of disputed Norwegian or Danish origins."
28,1.9,"Command Module Pilot Stuart Roosa took several hundred seeds on the mission, many of which were germinated on return resulting in the so called Moon trees."
29,1.6,"Meanwhile, Big Mama explains to Tod that his friendship with Copper can not continue, as they are natural enemies, but Tod refuses to believe her."
23,1.4,"It can also be used pejoratively, to refer to a common street beggar who chants holy names, scriptures or verses."
31,1.3,"The Saugor and Nerbudda Territories were attached to the North-Western Provinces, which included the British Dominions in the southern portion of present-day Uttar Pradesh state."
20,1.1,"He was nominated a Cardinal Priest, of the title of Santa Maria Nuova, on 18 February 1946."
15,1.1,"Holly Springs is a town in Wake County, North Carolina, United States."
42,1.9,"After initially being posted to the 1st Battalion, in March, 1916 he was transferred to the 53rd Battalion, which was part of the 5th Division, when the Australian Imperial Force was reinforced with fresh recruits from Australia."
18,1.2,"While not lethal, consuming this mushroom leads to very severe cramps, vomiting, and diarrhea."
11,1.0,Electra welcomes the idea of going to Argos with Idamante.
17,1.0,"Cale's Story: the adventures of Cale, ending with the beginning of the film."
12,1.0,"The NHL instituted the icing rule on March 13, 1939."
21,1.3,Italians know it for hosting a maximum-security prison (1858 - 1998) holding especially dangerous Mafia criminals.
12,1.2,In 1845 it joined the United States as the 28th state.
25,1.3,"In other media Aquaman has appeared in multiple cartoon series, as well as a live action version appearing in the TV series Smallville."
12,1.0,Mark Schatz has played bass regularly with the group since 2003.
40,1.3,"Law of Independent Assortment (The ""Second Law"") The Law of Independent Assortment, also known as ""Inheritance Law"", states that alleles of different genes assort independently of one another during gamete formation."
20,1.6,He commanded the 25th Punjabis in India and Hong Kong and was promoted to Lieutenant-Colonel in 1910.
21,1.0,"In addition, the station provides live coverage of the non-final rounds of the other Grand Slam tournaments."
25,1.5,"While collaborating with Mylène Farmer and Laurent Boutonnat, Alizée released two albums — both of which were hits inside and outside of France."
16,1.1,The account of Ninigi no Mikoto being sent to earth appears in the Nihon Shoki.
34,2.1,"Medieval philosophy In Medieval Europe, dialectics (also called logic) was one of the three original liberal arts collectively known as the trivium (the others were rhetoric and grammar)."
26,1.6,"The possibility remained that liquid ethane and methane might be found on Titan's poles, where it was expected to be abundant and stable."
33,1.8,"These Eid prayers are supposed to be offered in large groups, and so larger mosques will normally host them for their congregants as well as the congregants of smaller local mosques."
17,1.2,"After the release of a promotional single, Glory to the Brave was released throughout Europe."
15,1.2,"Asia The last Western Satrap, Rudrasimha III, is defeated by the Guptas."
29,1.9,"Robert Leroy Johnson (May 8, 1911 – August 16, 1938) was an American blues musician, among the most famous of Delta blues musicians."
12,1.1,This cemented public support for the gang especially in northeast Victoria.
18,1.2,Hurricane Lane was the strongest Pacific hurricane to make landfall in Mexico since Hurricane Kenna of 2002.
31,1.2,"As a result of Selene being conflated with Artemis, later writers sometimes referred to Selene as a daughter of Zeus, like Artemis, or of Pallas the Titan."
36,1.9,"Spurgeon (1911), p. 565 ""It is called a"" book "", as it is usually represented with pages, although it can be shown on a single page or banner."
32,1.7,"As of 2007, a maximum of four players can be inducted in one year but the greatest number of players ever inducted in a year was 27, in 1962."
23,1.2,"Colin Powell, a long time advocate, has recommended a simple moment of silence at the start of each school day."
33,1.5,"A small amount of matcha is placed into the bowl, traditionally using a bamboo scoop called a chashaku, then a modicum of hot (not boiling) water is added."
41,1.4,"As the last album of the Scandinavian vocal music series, Pohjola produced a tribute to the Finnish legendary tango composer, Toivo Kärki on the album, Leivonen lumimyrskyssä (A Lark in a Snowstorm) (2006)."
31,1.4,"Pedro involves the title character, a small airplane from Chile, engaging in his very first flight to pick up air mail from Mendoza, with near disastrous results."
13,1.1,Hurricane Epsilon was only the sixth ever Atlantic hurricane recorded in December.
17,1.4,2016 (MMXVI) will be a leap year starting on Friday of the Gregorian calendar.
32,1.8,"During and after the Thirty Years' War, Soest suffered a tremendous loss of both population and influence; at the lowest point in 1756 it had only 3,600 citizens."
25,1.2,"To sponsor something is to support an event, activity, person, or organization financially or through the provision of products or services."
24,1.5,"During the early 1960s, Love first crossed paths with Jim Henson through Don Sahlin, who urged him to meet with Henson."
26,1.7,"He attended the General Theological Seminary and earned his BA in theology and MA from Oriel College, Oxford University (1962, 1966)."
17,1.4,"However, the council was delayed until 1545, and convened right before Luther's death."
23,1.4,The International Union for Conservation of Nature and Natural Resources (IUCN) is an international organization dedicated to natural resource conservation.
26,1.1,"When animals or people freerun, experiments can be done to see what sort of signals, known as zeitgeber, are effective in entrainment."
19,1.1,Psyche appears to be a genuine case of an exposed metallic core from a larger differentiated parent body.
10,1.0,Chess boxing fights have been organized since early 2003.
43,1.1,The Big Mac PPP exchange rate between two countries is obtained by dividing the price of a Big Mac in one country (in its currency) by the price of a Big Mac in another country (in its currency).
